"Share of households living in house or in flat in a building with less than ten dwellings, 2024",
%,
Eurostat,
country,Value
Austria,50.4
Belgium,76.9
Bulgaria,52.9
Croatia,75.8
Cyprus,74.1
Czechia,48.7
Denmark,67.7
Estonia,38.7
Finland,60.7
France,63.5
Germany,38.5
Greece,40.6
Hungary,73.4
Ireland,90.2
Italy,40.8
Latvia,34.7
Lithuania,39.5
Luxembourg,57.8
Malta,36.6
Netherlands,77.1
Poland,58.4
Portugal,51
Romania,63
Slovakia,54.6
Slovenia,72.1
Spain,34.6
Sweden,51.2
